Jahr;Frühling;Sommer;Herbst;Winter;Standorte unter 250 m ;Standorte 250 - 400 m ü.NN;Standorte > 400 m ü.NN
1994;8,366666667;18,53958333;9,761666667;;9,016666667;8,453333333;7,261666667
1995;7,506666667;17,58875;10,11541667;2,91;8,536666667;7,39;6,136666667
1996;5,7025;16,31041667;9,112916667;-0,046666667;6,616666667;5,682222222;4,361666667
1997;7,977916667;17,18541667;9,456666667;0,945;9,123333333;7,988888889;6,243333333
1998;8,7675;17,05416667;9,109583333;2,612083333;9,994444444;8,775555556;6,915
1999;8,824166667;17,22541667;10,48375;1,835;10,20777778;8,803333333;6,78
2000;9,699583333;17,01208333;10,81375;2,357916667;11,09555556;9,694444444;7,613333333
2001;8,09625;17,335;10,45291667;2,555833333;9,288888889;8,14;6,241666667
2002;8,547083333;18,01708333;10,29625;2,800416667;9,627777778;8,641111111;6,785
2003;8,2325;19,76541667;9,455;1,289166667;9,541111111;8,087777778;6,486666667
2004;8,004166667;17,19166667;10,24666667;2,308333333;9,194444444;8,072222222;6,116666667
2005;8,37375;17,30041667;10,8525;1,837916667;9,224444444;8,662222222;6,665
2006;7,23625;18,20625;12,13666667;0,944583333;8,162222222;7,213333333;5,881666667
2007;9,979166667;17,82708333;9,732083333;4,325833333;11,07777778;10,02666667;8,26
2008;8,55;17,91458333;10,14333333;2,854166667;9,726666667;8,531111111;6,813333333
2009;9,353333333;17,41083333;11,07291667;1,097916667;10,48333333;9,362222222;7,645
2010;7,81125;18,09875;10,27333333;1,74375;8,651111111;7,773333333;6,608333333
2011;9,051666667;17,50416667;10,945;2,217916667;9,797777778;8,932222222;8,111666667
2012;9,209166667;17,78666667;10,48666667;2,423333333;10,23111111;8,818888889;8,261666667
2013;6,9425;18,06208333;10,84125;2,69625;7,728888889;6,756666667;6,041666667
2014;10,07791667;18,33333333;12,44208333;3,292083333;11,02666667;9,93;8,876666667
2015;8,599166667;18,40041667;11,10458333;3,029583333;9,664444444;8,311111111;7,433333333
