Jahr;Zuckerrübe Juli (schwere Böden);Zuckerrübe September (schwere Böden);Wintergetreide Mai (leichte Böden);Wintergetreide Juli (leichte Böden);Zuckerrübe Juli (schwere Böden) - Zusatz;Zuckerrübe September (schwere Böden) - Zusatz;Wintergetreide Mai (leichte Böden) - Zusatz;Wintergetreide Juli (leichte Böden) - Zusatz
1970;44,39;53,94;72,29;36,35;39,2;46,1;82,7;32,4
1971;44,26;53,18;72,27;36,15;42,5;18,2;70,6;32,6
1972;44,12;52,35;72,31;35,93;56,2;69;79,1;48
1973;44,1;51,85;72,33;35,87;31,4;19,6;70,7;25,9
1974;43,95;51,51;72,25;35,79;65,2;21,7;72,8;51,1
1975;43,75;51,22;72,24;35,67;39,7;24,7;76,4;30,7
1976;43,69;51,21;72,25;35,68;23,9;15,3;50,5;17
1977;43,3;51,09;72,05;35,44;49,9;70,2;69,9;47
1978;42,84;51,02;72,03;35,17;44;46,1;83,4;32,6
1979;42,46;51,13;71,93;35,08;45;22,6;72,8;33,4
1980;41,99;51,05;71,65;34,92;63,5;28,9;64,5;52,1
1981;41,53;51,17;71,2;34,82;40;47,6;75,4;31
1982;41,18;51,44;70,56;34,79;28,1;11,3;69;20,2
1983;40,71;51,7;69,94;34,63;30,9;18,2;83,7;25,1
1984;40,26;51,85;69,1;34,45;53,5;52,7;83,1;52,4
1985;40,2;51,83;68,3;34,56;34,5;39,7;65,8;43,6
1986;40,1;51,52;67,31;34,6;30,9;39,8;73,2;25,6
1987;40,29;51,17;66,28;34,74;48,5;41,6;75,6;45,6
1988;40,85;50,67;65,48;35,18;33,7;17,4;44,4;26
1989;41,33;50,4;64,63;35,46;33,8;19,3;62,6;24,3
1990;42,14;50,23;63,97;36,09;31,9;31,1;50,1;21,8
1991;43,06;50,18;63,75;36,82;28,1;11;57,6;18,8
1992;43,83;49,98;63,68;37,35;56,3;26,3;54;56
1993;44,78;49,89;63,89;38,07;63,8;40,6;49,6;52,5
1994;45,64;49,77;64,25;38,69;37,6;49,8;74;30,5
1995;46,24;49,84;64,63;39,07;43,1;54,4;72,7;40,2
1996;46,7;49,68;65,01;39,27;61,5;45,5;87,7;58
1997;46,86;49,61;65,49;39,17;55,6;20,6;64,6;50,4
1998;46,82;49,24;66,01;38,97;41,6;65,9;59,9;27,7
1999;46,42;49,18;66,54;38,44;62;21,4;64,7;49,9
2000;45,9;48,89;66,87;37,82;37,1;25,2;53,3;27,4
2001;45,36;48,66;66,97;37,19;56,6;46,8;65;48,5
2002;44,59;48,43;67,31;36,39;50,5;41,7;81,6;45,2
2003;44,01;48,43;67,39;35,8;26,8;33,8;59,8;17,3
2004;43,13;48,15;67,27;34,9;41,4;20,4;82,7;33,5
2005;42,43;47,93;67,17;34,26;34,3;29,6;70,4;26,5
2006;42;47,78;66,85;33,88;32;26,7;64,9;24,7
2007;41,64;47,67;66,49;33,57;62,8;59,7;57;51,1
2008;41,3;47,75;65,99;33,31;28,5;19,4;60,5;21,8
2009;41,11;47,92;65,57;33,22;41,2;29,2;83,1;32,7
2010;41,08;47,89;65,12;33,34;36,3;65,5;87,5;30,8
2011;40,96;48,06;64,58;33,35;37,4;29,4;37,8;28
2012;41,04;47,99;64,09;33,54;57,7;20,1;43,2;47
2013;40,97;47,9;63,49;33,58;29,6;43,5;88,5;24,9
2014;40,94;47,81;62,78;33,64;61,5;69,6;63,9;57,6
2015;41,09;48,06;62,28;33,92;24,7;13,7;43,5;17,5
