Jahr;Schadholzaufkommen durch Buchdrucker;Schadholzaufkommen durch Kupferstecher;Neu-Befallsstellen durch Buchdrucker
1990;4,208;1,649;1314
1991;19,467;1,263;4501
1992;112,605;7,572;17200
1993;63,218;4,929;11645
1994;57,134;3,774;9226
1995;51,933;4,173;8243
1996;40,11;3,228;7723
1997;18,086;2,095;4601
1998;36,701;3,819;7219
1999;21,142;3,446;4908
2000;16,834;2,817;4663
2001;9,056;2,275;2898
2002;7,405;1,976;2257
2003;333,58;62,24;22709
2004;302,65;73,561;20957
2005;121,583;8,808;11058
2006;225,619;9,888;11267
2007;144,009;5,798;6444
2008;375,14;11,665;18579
2009;180,099;0;11773
2010;34,936;1,192;4288
2011;19,256;2,697;2761
2012;35,951;0,954;4475
2013;102,693;1,642;8001
2014;101,009;1,403;7729
2015;62,781;1,526;5192
