Jahr;CTI ganz Thüringen;CTI Höhen bis 300 m;CTI Höhen ab 300 m
1992;8,860822182;9,209730232;8,683032794
1993;9,181177783;9,300347632;9,078898148
1994;9,083634833;9,326474807;8,967897062
1995;9,030156609;9,266640752;8,928846689
1996;9,065208338;9,344301677;8,930785549
1997;8,896118688;9,209456589;8,773345745
1998;9,044891665;9,430639453;8,743430619
1999;9,211017329;9,513111091;8,970644982
2000;9,258981614;9,516430575;8,965865443
2001;9,096787441;9,311937192;8,965833261
2002;9,152778245;9,524250255;8,84467802
2003;9,237419525;9,428892971;8,852391399
2004;9,260821592;9,402279455;9,102865405
2005;9,210529298;9,397323757;8,941120055
2006;9,17112534;9,325406554;8,90807032
2007;9,085934104;9,434076224;8,7685819
2008;9,373518637;9,595255029;9,224548048
2009;9,36972363;9,522028901;9,276346581
2010;9,115918876;9,470965244;8,997733069
2011;9,226747215;9,416522611;9,08389602
2012;9,206735732;9,467681914;9,135173218
2013;9,442083567;9,650774696;9,160673444
2014;9,519550006;9,641423124;9,383015461
2015;9,195678262;9,459205684;8,965819745
