Jahr;Gras-, Heide-, Busch-, Moor-, Waldbrände;Wasser- und Sturmschäden;Gras-, Heide-, Busch-, Moor-, Waldbrände (prozentuale Abweichung);Wasser- und Sturmschäden (prozentuale Abweichung)
2001;197;1379;-45,91096293;-55,43500843
2002;218;5736;-40,1451265;85,36968214
2003;1025;2489;181,4277309;-19,56326031
2004;377;2072;3,510492253;-33,03940352
2005;324;2640;-11,04138066;-14,68340989
2006;267;2737;-26,69150814;-11,54867154
2007;325;6440;-10,76681702;108,1207728
2008;231;2666;-36,57579918;-13,84317075
2009;217;1455;-40,41969014;-52,97892477
2010;292;3055;-19,82741714;-1,271900464
2011;433;3524;18,88605609;13,88472104
2012;393;2452;7,903510492;-20,75898525
2013;292;4606;-19,82741714;48,85159622
2014;508;2070;39,47832908;-33,1040373
