Jahr;Winterweizenerträge;Maiserträge ;Abweichung der Winterweizenerträge vom Mittel der 6 Vorjahre;Abweichung der Maiserträge vom Mittel der 6 Vorjahre
1980;45,6;;;
1981;47;;;
1982;48,5;;;
1983;50,2;;;
1984;51,3;;;
1985;55,2;390;;
1986;56,6;368;14,03626595;
1987;57,1;431;10,94559585;
1988;50,4;350;-5,174035748;
1989;44,5;380;-16,77057357;
1990;55,9;;6,442399238;
1991;58,4;341,7;9,602752581;-10,96925482
1992;51,1;403,9;-5,048002478;7,954241728
1993;64,2;490,4;21,3610586;28,60589531
1994;68,8;413,1;27,21109399;5,06103764
1995;66,3;398,4;16,01049869;-1,828396826
1996;69,6;417,2;14,50507266;1,88034188
1997;67,8;429,3;7,505285412;4,50764799
1998;68,4;454,7;5,827746261;6,891823062
1999;73,5;467,4;8,86200938;7,733087473
2000;69,2;469,6;0,193050193;9,205069571
2001;75,6;458,5;9,353905497;4,338921338
2002;61,6;458,2;-12,85074275;1,946823896
2003;61,9;359,9;-10,74260995;-21,12357088
2004;79,1;423,2;15,6996587;-4,838286549
2005;70,5;447,7;0,498930862;1,87348301
2006;67,3;400,8;-3,374012922;-8,112032402
2007;67,6;475,5;-2,5;11,95699094
2008;77,2;388,1;13,52941176;-9,226990995
2009;74,8;428,9;5,949008499;3,134017313
2010;63,7;378,3;-12,43986254;-11,48116372
2011;66,1;449;-5,818095464;6,934465923
2012;70,6;453,7;1,655867531;7,998095692
2013;76;317,5;8,571428571;-25,97629687
2014;82,9;453,3;16,10644258;12,59780584
2015;73,3;356,8;1,313061507;-13,70177772
