Jahr;Schwankungsbreite von Grundwasserständen > 50%;Schwankungsbreite von Grundwasserständen < 50%;Abweichung ggü. mittlerem Grundwasserstand 1961-90
1970;3;0;13,86460265
1971;2;-1;5,888947653
1972;2;-1;-6,729314652
1973;0;-1;-6,112078203
1974;0;-5;-8,605673313
1975;2;0;10,44736064
1976;2;0;-13,0049484
1977;1;-2;-9,630408748
1978;0;0;5,185799938
1979;3;0;2,558932939
1980;1;0;2,213668521
1981;1;0;8,702737398
1982;4;0;8,61178893
1983;1;0;-1,468749941
1984;0;-1;2,266883981
1985;0;-3;2,873467036
1986;1;0;4,275742704
1987;1;-1;12,51723852
1988;4;-1;7,634993633
1989;0;-1;-6,261699715
1990;0;-2;-10,10039541
1991;1;-5;-11,30905372
1992;1;-4;-12,67970948
1993;0;-1;-2,128430539
1994;7;0;8,77691058
1995;1;0;5,991239813
1996;2;-7;-4,109405397
1997;1;-1;1,966660108
1998;0;-4;-6,539845326
1999;4;-2;4,0380131
2000;0;-1;-3,925050385
2001;0;-2;-9,121758675
2002;0;-1;-0,624478246
2003;10;-1;1,911738244
2004;2;-3;-13,29476815
2005;0;-4;-9,741895549
2006;0;-4;-13,35090982
2007;0;-1;-7,7685455
2008;0;-2;0,916115245
2009;0;-2;-6,968409311
2010;1;-1;7,468466911
2011;4;-2;1,412561023
2012;1;-5;-11,50737948
2013;4;0;3,51167562
2014;0;-8;-2,599990825
2015;0;-6;-9,789009276
