Jahr;Heizgradtage;Kühlgradtage
1961;2455,18;58,61
1962;3059,95;37,51
1963;3184,53;57,86
1964;2931,97;115,43
1965;2905,74;29,26
1966;2626,1;58,04
1967;2555,69;63,12
1968;2864,71;35,19
1969;3034,66;84,26
1970;2987,35;46,59
1971;2751,75;82,83
1972;2925,44;58,03
1973;2878,66;61,15
1974;2478,24;29,71
1975;2619,11;81,24
1976;2839,02;100,32
1977;2574,26;22,61
1978;2827,24;34,04
1979;2971,72;40,65
1980;2962,79;29,46
1981;2813,23;49,66
1982;2664,63;112,23
1983;2673,89;115,8
1984;2847,02;37,48
1985;3053,96;38,39
1986;2906,87;78,49
1987;3095,25;37,54
1988;2526,19;50,33
1989;2362,14;69,91
1990;2382,42;71,12
1991;2790,22;86,63
1992;2591,47;122,49
1993;2710,28;45,83
1994;2415,3;168,07
1995;2674,8;115,74
1996;3220,14;47,88
1997;2682,51;76,3
1998;2491,15;75,63
1999;2422,98;72,78
2000;2240,81;71,29
2001;2570,57;98,29
2002;2507,91;87,57
2003;2709,73;193,29
2004;2608,93;68,21
2005;2589,73;91,34
2006;2511,63;141,4
2007;2296,31;79,85
2008;2466,14;91,21
2009;2528,81;72,59
2010;3074,7;117,03
2011;2343,06;73,58
2012;2576,04;99,23
2013;2760,35;109,94
2014;2091,99;91,68
