Jahr;Anzahl Pegel mit 20 und mehr Hochwassertagen;Anzahl Pegel mit 10 bis <20 Hochwassertagen;Anzahl Pegel mit 5 bis <10 Hochwassertagen;Anzahl Pegel mit 1 bis <5 Hochwassertagen;Anzahl Pegel mit 0 Hochwassertagen
1961;1;0;2;8;9
1962;0;0;0;12;9
1963;0;0;0;0;21
1964;0;0;0;0;22
1965;0;3;2;1;16
1966;1;2;5;8;6
1967;0;3;2;5;12
1968;0;1;1;11;9
1969;0;0;1;5;16
1970;1;6;6;4;5
1971;0;0;0;0;22
1972;0;0;0;0;22
1973;0;0;0;0;22
1974;0;0;3;1;18
1975;3;0;3;10;6
1976;0;0;1;2;19
1977;0;0;0;2;20
1978;0;0;0;3;19
1979;0;2;2;5;13
1980;0;3;1;11;7
1981;0;2;11;3;5
1982;0;3;4;9;5
1983;0;0;0;3;18
1984;0;0;0;4;18
1985;0;0;0;1;21
1986;0;0;0;10;12
1987;1;4;8;5;4
1988;2;7;3;4;6
1989;0;0;0;4;18
1990;0;0;0;3;19
1991;0;0;0;2;20
1992;0;0;0;0;22
1993;0;0;0;3;19
1994;3;3;4;7;5
1995;0;3;6;9;4
1996;0;0;0;3;19
1997;0;0;0;9;13
1998;0;0;0;9;13
1999;0;3;5;9;5
2000;0;0;0;10;12
2001;0;0;0;4;18
2002;0;3;5;7;7
2003;2;2;10;4;4
2004;0;0;0;2;20
2005;0;1;2;11;8
2006;0;1;7;7;7
2007;0;0;0;8;14
2008;0;0;0;7;15
2009;0;1;0;1;20
2010;0;0;1;4;17
2011;1;7;6;4;4
2012;0;0;0;0;22
2013;0;7;6;4;5
2014;0;0;0;0;22
2015;0;0;0;0;22
