Jahr;Anzahl Pegel mit 100 und mehr Niedrigwassertagen;Anzahl Pegel mit 50 bis <100 Niedrigwassertagen;Anzahl Pegel mit 25 bis <50 Niedrigwassertagen;Anzahl Pegel mit 1 bis <25 Niedrigwassertagen;Anzahl Pegel mit 0 Niedrigwassertagen
1961;0;0;1;4;15
1962;0;3;2;8;8
1963;5;8;3;3;2
1964;11;7;0;2;2
1965;1;3;2;13;3
1966;0;1;0;5;16
1967;0;0;0;4;18
1968;0;0;1;5;16
1969;0;0;0;5;17
1970;0;1;1;7;13
1971;0;3;3;7;9
1972;0;2;2;16;2
1973;0;3;7;10;2
1974;0;1;2;9;10
1975;0;0;1;11;10
1976;15;0;0;6;1
1977;2;4;5;9;2
1978;0;0;0;7;15
1979;0;0;1;12;9
1980;0;1;0;4;17
1981;0;0;0;2;19
1982;0;1;1;13;6
1983;0;0;0;11;10
1984;0;0;1;12;9
1985;0;0;0;7;15
1986;0;0;1;5;16
1987;0;0;0;1;21
1988;0;0;1;7;14
1989;1;5;3;10;3
1990;0;6;2;9;5
1991;6;8;4;1;3
1992;4;1;5;10;2
1993;1;3;1;7;10
1994;0;0;0;10;12
1995;0;0;0;1;21
1996;0;1;1;5;15
1997;0;3;1;6;12
1998;2;1;4;10;5
1999;0;3;1;7;11
2000;2;0;3;6;11
2001;0;4;3;8;7
2002;0;0;2;8;12
2003;2;13;1;3;3
2004;2;5;2;7;6
2005;1;3;4;9;5
2006;0;8;3;3;8
2007;0;2;1;4;15
2008;0;1;8;5;8
2009;0;3;2;8;9
2010;0;0;0;10;12
2011;0;3;3;3;13
2012;3;3;2;6;8
2013;0;0;2;6;14
2014;0;2;3;7;10
2015;5;6;1;6;4
