Jahr;TS Ohra - Beginn;TS Ohra - Ende;TS Ohra - Dauer;TS Scheibe-Alsbach - Beginn;TS Scheibe-Alsbach - Ende;TS Scheibe-Alsbach - Dauer
1999;15;45;30;18;42;24
2000;17;43;26;18;44;
2001;19;43;24;18;46;
2002;18;43;25;20;42;22
2003;17;42;25;17;42;25
2004;18;48;30;17;;
2005;17;44;27;16;42;26
2006;19;45;26;17;43;26
2007;16;41;25;17;41;24
2008;19;45;26;16;43;27
2009;17;43;26;18;42;24
2010;18;42;24;18;43;25
2011;17;42;25;16;43;27
2012;17;43;26;16;41;25
2013;19;44;25;17;45;28
2014;16;41;25;14;45;31
2015;18;41;23;15;44;29
