Jahr;RR_2.1;RR_2.2;RR_2.3;RR_2.4;RR_2.5
1881;655,0;162,9;233,1;149,0;85,0
1882;882,4;143,6;357,2;256,3;136,5
1883;593,0;102,2;185,7;174,0;161,2
1884;672,2;115,7;219,7;158,0;148,7
1885;615,7;142,5;184,5;188,2;102,0
1886;649,0;153,3;217,2;127,7;107,0
1887;550,6;190,2;154,5;123,9;147,4
1888;675,4;181,3;240,9;156,1;99,1
1889;682,7;191,7;210,5;163,3;120,5
1890;663,1;131,4;263,5;173,5;82,9
1891;739,4;179,9;283,3;121,6;190,7
1892;535,2;117,2;147,8;108,4;181,2
1893;657,0;87,6;178,6;225,7;112,7
1894;766,0;106,1;297,6;224,5;170,2
1895;706,4;174,4;173,6;153,9;161,5
1896;730,8;175,4;322,0;133,0;149,5
1897;737,1;184,1;219,1;179,1;157,0
1898;731,5;233,7;220,6;110,0;142,4
1899;752,9;225,6;214,8;182,1;171,3
1900;775,1;160,3;250,1;156,6;172,9
1901;766,0;165,0;245,0;202,1;146,8
1902;698,1;175,9;237,3;106,7;150,2
1903;649,7;144,7;206,6;219,1;119,8
1904;600,1;147,0;106,2;192,4;149,5
1905;774,9;151,9;247,3;245,0;129,6
1906;784,4;215,4;237,2;161,4;168,5
1907;642,3;142,8;232,1;106,6;160,5
1908;625,9;204,1;235,3;72,9;145,6
1909;751,8;108,9;207,5;238,5;169,1
1910;687,7;106,3;287,7;153,0;111,7
1911;450,9;118,7;93,7;100,7;163,4
1912;750,2;151,2;266,3;180,9;124,0
1913;666,3;172,2;197,7;132,7;154,1
1914;756,0;214,7;259,7;163,9;180,9
1915;710,2;168,2;197,4;127,5;237,3
1916;759,6;156,8;227,2;148,3;162,2
1917;644,4;172,7;220,1;139,7;140,0
1918;661,4;113,9;208,0;154,7;134,9
1919;608,0;125,6;158,2;173,3;216,2
1920;610,2;159,5;186,5;98,3;160,3
1921;572,4;138,0;178,8;94,5;164,5
1922;826,0;177,9;234,4;228,0;160,1
1923;706,5;163,0;177,5;215,6;118,6
1924;715,8;158,8;288,2;186,8;102,5
1925;718,3;149,5;217,9;194,3;194,1
1926;800,7;167,3;311,2;157,4;121,5
1927;760,4;200,0;308,6;140,2;129,2
1928;649,6;166,0;149,2;183,7;120,9
1929;529,0;103,9;144,1;144,1;117,0
1930;704,1;193,1;210,8;232,1;129,1
1931;722,1;130,1;301,4;140,4;111,4
1932;664,1;174,5;202,9;210,3;80,1
1933;607,7;125,7;276,8;114,1;91,8
1934;531,7;86,5;178,5;156,3;172,0
1935;716,4;186,0;191,9;148,8;182,3
1936;742,2;171,0;230,9;168,9;197,4
1937;708,1;187,4;227,1;93,8;181,3
1938;638,3;148,3;181,7;126,0;143,6
1939;872,2;200,3;226,6;308,9;98,4
1940;798,4;157,8;296,1;219,6;178,1
1941;901,9;225,4;266,4;229,0;130,1
1942;595,3;129,3;201,2;178,3;90,1
1943;545,4;107,5;218,0;124,9;165,8
1944;774,4;151,0;232,0;209,5;142,6
1945;722,5;156,5;300,6;123,1;217,0
1946;718,1;125,3;236,1;157,1;108,4
1947;642,4;161,6;151,1;118,1;303,6
1948;620,5;108,7;249,9;76,7;94,2
1949;600,9;187,9;156,8;102,0;225,4
1950;829,7;198,0;219,7;204,0;142,2
1951;640,6;130,1;238,2;156,8;135,8
1952;800,0;192,1;130,6;324,0;154,2
1953;528,2;88,0;238,5;72,5;112,3
1954;742,8;120,8;297,4;159,0;187,7
1955;739,2;135,6;291,9;120,6;152,7
1956;824,0;168,9;396,3;142,4;156,2
1957;672,5;129,7;221,1;168,7;181,7
1958;803,0;180,8;282,1;137,8;124,4
1959;481,5;108,7;171,1;102,1;137,0
1960;756,7;142,3;192,4;245,4;177,0
1961;796,0;272,9;225,0;115,5;189,6
1962;561,8;158,4;161,9;75,3;99,6
1963;591,7;119,8;266,3;153,1;67,2
1964;492,0;140,7;132,6;133,7;170,5
1965;864,9;203,9;233,1;166,4;224,3
1966;905,6;201,8;290,7;188,5;206,3
1967;725,2;194,1;193,9;158,7;218,1
1968;722,9;165,9;227,7;176,1;121,2
1969;728,8;228,7;253,7;116,5;182,5
1970;837,1;216,7;236,3;188,8;112,7
1971;538,7;138,0;179,2;125,7;48,4
1972;653,3;198,4;301,0;131,9;87,7
1973;612,8;137,6;168,5;167,5;147,2
1974;819,0;124,4;248,3;226,6;189,6
1975;583,1;175,3;205,1;121,5;161,5
1976;498,6;92,9;110,8;125,1;144,1
1977;820,8;158,0;288,1;204,1;106,3
1978;644,3;160,3;193,9;138,9;176,8
1979;705,9;201,1;191,8;146,6;180,2
1980;733,7;174,9;254,3;163,2;155,8
1981;948,8;225,1;265,1;248,8;164,9
1982;504,4;140,5;124,4;116,4;172,6
1983;681,3;268,9;149,2;122,5;183,1
1984;796,0;197,4;213,2;202,0;103,0
1985;613,1;150,7;218,5;105,4;181,0
1986;790,0;228,4;197,3;156,4;241,9
1987;821,7;187,5;272,2;166,5;197,3
1988;731,0;167,5;148,0;156,6;174,1
1989;633,3;157,0;161,5;168,3;197,6
1990;644,6;95,1;195,6;181,5;124,7
1991;503,2;93,5;154,2;115,3;138,4
1992;728,3;160,3;275,6;173,6;174,0
1993;788,3;122,5;246,5;151,6;263,2
1994;832,8;269,4;220,9;161,0;232,9
1995;844,1;221,9;228,2;180,7;95,5
1996;670,7;144,4;234,1;199,7;147,6
1997;669,9;143,1;233,1;106,2;155,5
1998;827,9;165,8;202,5;354,0;151,7
1999;753,6;167,2;237,2;141,5;252,8
2000;762,4;197,0;203,1;158,6;130,7
2001;795,5;200,5;204,8;223,5;221,0
2002;916,7;178,4;236,2;268,0;181,8
2003;534,4;123,0;122,7;149,0;167,7
2004;749,1;174,6;233,2;177,6;192,2
2005;701,3;149,6;203,4;134,1;143,7
2006;693,8;240,3;202,1;136,6;182,2
2007;948,1;192,6;312,9;243,1;147,5
2008;682,2;182,3;174,9;175,0;149,8
2009;824,3;197,1;203,2;232,6;179,6
2010;842,4;172,0;282,1;213,6;171,0
2011;611,0;71,0;254,3;110,8;214,7
2012;696,4;90,2;249,1;142,6;203,0
2013;761,9;256,9;151,3;214,7;87,0
2014;668,1;135,4;276,3;137,6;142,1
2015;593,8;108,7;199,4;176,6;161,7
2016;;138,6;;;
