Jahr;SO_4.1
1961;1452,9
1962;1520,3
1963;1603,9
1964;1678,7
1965;1419,0
1966;1369,6
1967;1548,6
1968;1487,8
1969;1513,4
1970;1373,1
1971;1676,5
1972;1480,1
1973;1606,5
1974;1326,0
1975;1573,3
1976;1695,0
1977;1269,1
1978;1277,6
1979;1386,2
1980;1388,9
1981;1323,3
1982;1740,2
1983;1555,2
1984;1315,1
1985;1496,3
1986;1463,5
1987;1315,5
1988;1419,0
1989;1730,3
1990;1581,1
1991;1645,0
1992;1556,6
1993;1499,9
1994;1542,9
1995;1486,4
1996;1355,4
1997;1625,8
1998;1374,5
1999;1529,3
2000;1517,8
2001;1435,7
2002;1420,5
2003;1945,0
2004;1545,3
2005;1727,5
2006;1782,0
2007;1636,3
2008;1549,4
2009;1547,2
2010;1477,5
2011;1879,8
2012;1633,8
2013;1394,0
2014;1553,2
2015;1714,7
