Jahr;Thüringen;Eichsfeld;Hainich;Kyffhäuser;Saaleland;Städte Eisenach, Erfurt, Jena, Weimar;Südharz;Thüringer Rhön;Thüringer Vogtland;Thüringer Wald;Übriges Thüringen
1961;99;91;104;115;105;97;106;91;101;93;110
1962;86;79;89;91;96;92;83;82;88;83;96
1963;93;90;100;100;99;94;95;87;97;88;99
1964;105;105;111;110;108;110;104;108;103;101;110
1965;86;82;95;97;94;93;90;75;88;78;97
1966;96;93;102;103;106;102;97;85;103;89;105
1967;100;96;103;106;107;104;99;93;102;96;109
1968;89;84;90;97;98;95;95;82;92;83;101
1969;106;107;111;106;112;110;106;101;108;101;112
1970;83;81;84;88;87;87;82;83;82;80;90
1971;104;105;111;111;109;113;104;103;102;98;112
1972;83;77;87;85;92;89;79;80;91;79;92
1973;98;99;101;100;104;103;99;95;98;95;103
1974;84;82;88;91;88;89;83;87;79;79;91
1975;100;101;101;105;107;107;99;96;103;95;109
1976;111;107;113;117;118;115;111;112;111;106;119
1977;94;90;102;104;105;103;94;88;97;85;109
1978;82;78;89;89;91;92;81;79;83;75;95
1979;95;92;102;101;102;102;92;92;96;89;106
1980;75;68;79;84;83;84;75;74;78;68;88
1981;98;89;96;100;108;105;92;96;101;94;107
1982;107;107;110;115;111;112;112;104;108;102;113
1983;100;95;102;105;110;105;100;92;110;94;107
1984;73;69;77;81;82;79;74;65;80;67;83
1985;93;83;93;100;103;101;88;85;99;87;104
1986;94;89;101;101;100;101;93;89;94;88;102
1987;74;66;77;81;82;85;66;69;75;69;85
1988;100;100;107;110;102;110;106;96;99;93;107
1989;111;110;117;125;120;119;116;102;116;102;123
1990;107;97;110;117;120;118;104;98;116;99;121
1991;104;97;111;111;112;111;105;98;110;99;114
1992;97;92;100;102;100;103;100;94;97;94;101
1993;94;86;97;96;100;103;85;95;103;90;101
1994;94;91;96;94;98;100;91;93;97;92;101
1995;95;97;102;100;99;103;99;89;97;90;102
1996;76;74;87;88;80;82;84;68;77;69;87
1997;98;97;104;101;100;101;100;99;97;93;102
1998;80;75;84;83;84;86;81;71;85;77;89
1999;104;102;112;112;107;116;109;98;103;96;116
2000;102;91;101;109;115;111;98;92;114;96;115
2001;90;90;92;96;97;94;95;85;94;85;97
2002;98;92;101;104;104;105;97;98;102;92;106
2003;103;96;102;107;105;105;106;102;104;101;107
2004;92;86;100;102;101;100;92;85;97;86;102
2005;108;105;112;116;117;116;109;104;114;100;119
2006;100;102;102;106;102;106;99;97;100;96;106
2007;96;88;103;106;104;108;92;96;99;88;108
2008;95;92;99;101;100;100;95;93;99;90;102
2009;101;101;103;105;106;106;104;104;102;97;107
2010;87;84;92;92;95;94;88;85;91;82;96
2011;114;110;120;123;124;121;119;109;118;109;121
2012;97;94;101;105;102;103;95;94;102;92;103
2013;95;90;97;101;101;100;92;92;99;90;102
2014;110;102;112;117;118;111;104;111;117;106;117
2015;100;94;107;109;108;111;96;96;102;95;109
