Jahr;Maximale Wärmeinselintensität (Jena);Mittlere Wärmeinselintensität (Jena);Wärmeinselsituation von Juni - August (Jena);Wärmeinselintensität 1-3 Kelvin (Jena);Wärmeinselintensität 4-6 Kelvin (Jena);Maximale Wärmeinselintensität (Gera);Mittlere Wärmeinselintensität (Gera);Wärmeinselsituation von Juni - August (Gera);Wärmeinselintensität 1-3 Kelvin (Gera);Wärmeinselintensität 4-6 Kelvin (Gera)
2003;6;2,465116279;86;72;14;2,5;1,526;50;50;0
2004;5,3;2,407058824;85;69;16;3,1;1,528813559;59;58;1
2005;3,3;1,978873239;71;69;2;2,6;1,425;36;36;0
2006;4,2;2,076086957;46;41;5;3,1;1,533962264;53;52;1
2007;3,7;2,120967742;62;60;2;4,1;1,536666667;60;59;1
2008;3,8;2,121052632;76;71;5;2,9;1,463636364;55;55;0
2009;3,7;2,27027027;74;62;12;2,8;1,355769231;52;52;0
2010;4,6;2,660526316;76;50;26;2,7;1,395238095;42;42;0
2011;2,8;1,873333333;60;60;0;3,4;1,541428571;70;69;1
2012;3,4;2,148717949;78;76;2;4,4;2,04375;80;75;5
2013;3,2;2,1375;64;62;2;3,4;1,911688312;77;75;2
2014;3,6;2,098701299;77;72;5;3,7;1,77721519;79;76;3
2015;3,8;2,078125;64;59;5;3,5;1,77027027;74;73;1
