Jahr;Mittlere Kronenverlichtung gesamt;Mittlere Kronenverlichtung Fichte;Mittlere Kronenverlichtung Kiefer;Mittlere Kronenverlichtung Buche;Mittlere Kronenverlichtung Eiche
1991;27,46308809;25,67404977;33,38688946;27,51770538;28,77598152
1992;29,09068627;27,04353562;31,33375877;31,84975195;29,42263279
1993;27,53898635;25,04839132;26,71746032;31,1212976;36,63484487
1994;25,5095967;24,08102511;25,82903226;26,24824684;36,52522936
1995;24,07815511;22,03964194;23,80051315;27,61068166;31,80875576
1996;23,31338652;17,16494845;26,3963039;25,28947368;41,96202532
1997;23,66288986;21,32909751;25,03198976;24,72222222;32,58027523
1998;21,43762183;19,53576073;22,9590531;23,04285714;26,30184332
1999;20,75012148;18,12011464;22,26084184;23,14775161;27,8125
2000;20,20163255;17,48365158;21,72424824;23,75800712;25,36830357
2001;20,7191448;17,87061289;22,14015152;24,10120311;26,55133929
2002;19,88304094;16,98105762;22,78827977;22,12014134;24,31767338
2003;20,88313897;17,95537578;24,50384123;21,64722032;26,62162162
2004;22,7997851;19,11958495;26,19093231;27,32204561;28,1663113
2005;22,98710602;19,11359501;26,88387097;26,72997238;31,36458333
2006;22,96396073;19,38665616;26,51222651;26,84445974;29,82217573
2007;23,00972622;20,75696134;25,86415816;24,95652174;28,76299376
2008;22,92807397;20,29387755;29,16719443;22,61333333;26,63541667
2009;23,12138728;19,56962719;27,73477157;25,64085447;29,56842105
2010;21,67638484;17,64607213;26,58280255;24,21156373;29,49367089
2011;23,32189306;18,67827298;27,36416559;28,64528796;29,31722689
2012;22,36813584;18,59095982;25,79339378;25,85349902;31,14978903
2013;21,40119048;18,07618526;26,24033505;22,7154047;27,59493671
2014;22,24471516;18,74657159;25,40862291;27,14616402;25,69473684
2015;22,41455282;20,12626956;26,04179861;22,7243173;28,61538462
