Jahr;Bundesstraßen;Landesstraßen;Bundesautobahnen
2001;13,06367041;4,547974928;26,66666667
2002;16,62788963;9,885589094;30,63318777
2003;19,8387574;11,93148979;34,29942418
2004;17,50722433;13,82482508;53,80038388
2005;19,94534257;14,72547974;50,98389982
2006;5,786104606;4,515531335;14,69387755
2007;9,897619048;8,362975391;21,08769231
2008;17,70212766;14,86724387;39,5
2009;21,91338583;16,17475161;53,84517045
2010;19,96286701;14,11183049;56,87073864
2011;9,792924935;8,438538206;21,09375
2012;25,80814941;19,93091483;63,42329545
2013;8,13327674;6,897238279;15,40909091
2014;13,04485488;11,53459929;27,06509695
2015;12,80269058;10,84306096;25,6356383
