Jahr;Blüte des Winterrapses (Thüringen gesamt)
1951;135,377551
1952;125,7711864
1953;117,8962963
1954;139,9292035
1955;134,7588235
1956;138,0822785
1957;124,1695906
1958;140,3423913
1959;117,3387097
1960;132,0751445
1961;112,1875
1962;142,1384615
1963;137,2857143
1964;136,2328767
1965;137,2432432
1966;124,7965116
1967;130,6595745
1968;127,2576687
1969;148,1964286
1970;147,9054054
1971;131,7746479
1972;132,8611111
1973;136,4861111
1974;130,7887324
1975;130,7671233
1976;134,8769231
1977;133,5769231
1978;141,6170213
1979;146,2222222
1980;148,1818182
1981;133,4047619
1982;140,8039216
1983;136,4655172
1984;144,4677419
1985;138,9382716
1986;136,7352941
1987;141,1428571
1988;129,9090909
1989;128,5301205
1990;124,0821918
1991;140,86
1992;130,1456311
1993;119,9902913
1994;123,752381
1995;121,0194175
1996;141,2470588
1997;126,5555556
1998;117,3478261
1999;122,173913
2000;118,0879121
2001;123,9277108
2002;120,1
2003;121,0769231
2004;120,4444444
2005;119,8970588
2006;129,6111111
2007;106,1818182
2008;119,9242424
2009;115,1451613
2010;121,8153846
2011;116,0714286
2012;115,0740741
2013;128,8679245
2014;101,0612245
2015;119,8913043
