Jahr;MQ HyJahr;MQ HyWinter;MQ HySommer;Verhältnis Winter/Sommer
1960;13,53993934;15,1286513;11,97017556;0,52985341
1961;21,97234503;28,30634394;15,70438079;0,352754344
1962;18,3907977;31,78240317;5,155327124;0,122239151
1963;11,90017741;11,11019334;12,69041093;0,775215291
1964;12,39755323;18,36867452;6,479987548;0,417349857
1965;21,38766781;29,32610342;13,53985542;0,41370095
1966;29,16902788;41,99100772;16,49313105;0,317883149
1967;21,43507637;35,00000097;8,005969601;0,208829893
1968;21,74796131;26,07758129;17,44288186;0,497564486
1969;21,92839326;24,26598688;19,61521534;0,66553646
1970;23,45012317;30,28889396;16,69780151;0,50902624
1971;15,0663508;21,32545443;8,866304653;0,344817772
1972;14,27114821;12,05573604;16,48581527;1,003199985
1973;11,01663899;13,53111277;8,538890797;0,557097115
1974;18,17068722;20,44904142;15,90706355;0,558436034
1975;19,72240062;32,56177896;7,007526103;0,198285031
1976;10,80274594;18,1657;3,484259029;0,190219217
1977;15,05146483;19,81737742;10,33200147;0,425878264
1978;17,11345107;22,43213264;11,84697752;0,479420617
1979;21,38833987;32,08978092;10,82210699;0,299510217
1980;22,52858171;27,40258001;17,68902612;0,468210379
1981;24,01488425;30,87179179;17,19583857;0,481271082
1982;18,28052188;27,58568464;8,482902636;0,329496141
1983;18,77683562;28,73115937;8,891959626;0,309292771
1984;24,81262256;24,72020185;24,92178382;0,850755014
1985;14,20777024;18,73148976;9,71846258;0,458817088
1986;23,80249297;30,17500687;17,47930912;0,492465335
1987;24,20818252;31,91849206;16,55309853;0,468503387
1988;22,41817642;38,23834057;6,683746677;0,232694171
1989;17,4023893;27,77345295;7,094944785;0,296380991
1990;21,41391659;33,64264832;9,278304605;0,318328254
1991;17,37334992;26,93218728;7,890383245;0,304993158
1992;18,45761989;28,00344779;8,970099941;0,326593973
1993;19,14884482;29,45122282;8,930996651;0,285663511
1994;27,53228818;49,22410705;6,75082273;0,154340339
1995;31,22231161;45,36951813;17,19441916;0,338458627
1996;12,93476303;14,58077249;12,66260487;0,730454286
1997;15,63989483;24,58282812;6,761442003;0,333800394
1998;17,47077596;19,68758434;15,25827982;0,615233442
1999;19,17717004;32,46542399;5,989120494;0,167293682
2000;21,41138095;37,32390668;5,57554273;0,184083376
2001;15,80852198;22,64599777;9,028088225;0,376042968
2002;24,0005165;38,58664602;9,515476704;0,272605826
2003;15,3884871;26,33592867;4,527518707;0,203466769
2004;14,04529262;18,22354173;9,889808143;0,450335312
2005;18,2681128;30,1807781;6,441776451;0,242019357
2006;17,98389833;24,49634529;11,50786962;0,376172957
2007;21,56591918;26,17523006;16,98588983;0,491526474
2008;21,14653905;35,87239526;6,498603717;0,198841419
2009;15,89424782;23,53591738;8,318151438;0,3148025
2010;18,9987985;27,08015045;10,97349838;0,366323792
2011;16,51985462;27,76816878;5,364257649;0,239259244
2012;14,59608827;22,70534089;6,530730641;0,250964363
2013;23,32954391;29,09032744;17,61342692;0,486929999
2014;14,34227359;15,55665492;13,1234617;0,642880788
2015;13,12168575;22,65369369;3,660503196;0,169409546
